experiment_id,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1681000535101,1681000535187,1681000535239,1681000535290,189,52,137
2,1681000535296,1681000535345,1681000535387,1681000535428,132,42,90
3,1681000535434,1681000535484,1681000535525,1681000535559,125,41,84
4,1681000535564,1681000535604,1681000535646,1681000535703,139,42,97
5,1681000535709,1681000535758,1681000535803,1681000535854,145,45,100
6,1681000535859,1681000535925,1681000535969,1681000536065,206,44,162
7,1681000536070,1681000536130,1681000536176,1681000536242,172,46,126
8,1681000536247,1681000536321,1681000536362,1681000536403,156,41,115
9,1681000536409,1681000536488,1681000536531,1681000536607,198,43,155
10,1681000536612,1681000536683,1681000536727,1681000536773,161,44,117
